word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
seduction,2.353,0.412,2.118,2.412,0.824,2.882,1.0,1.556,2.444,2.111,1.389,0.225,visual,0.17,head,0.127,visual
see,0.056,0.0,0.0,0.333,0.0,5.0,0.0,0.0,4.857,0.095,0.0,0.928,visual,0.981,head,0.483,visual
seed,1.118,2.118,2.882,1.471,1.353,3.647,0.857,3.0,2.143,1.143,0.5,0.201,visual,0.327,hand_arm,0.156,visual
seeing,0.294,0.118,0.118,0.824,0.176,5.0,0.167,0.222,4.833,0.444,0.167,0.748,visual,0.8,head,0.395,visual
seem,1.176,0.235,0.294,1.0,0.294,2.059,0.684,1.0,2.158,1.474,0.737,0.36,visual,0.243,head,0.173,head
seen,0.111,0.0,0.0,0.556,0.0,4.5,0.053,0.105,4.421,0.158,0.053,0.871,visual,0.912,head,0.452,visual
selected,1.632,0.211,1.053,0.947,0.211,3.211,0.55,2.15,2.4,1.5,0.6,0.413,visual,0.257,head,0.207,visual
selection,1.571,1.19,1.714,1.048,0.81,3.238,0.9,2.3,2.95,2.4,0.85,0.254,visual,0.223,head,0.128,visual
selfish,1.706,0.294,0.353,2.647,0.353,2.0,0.19,0.286,2.762,1.571,0.429,0.32,interoceptive,0.491,head,0.204,head
sell,0.947,0.211,0.526,0.737,0.053,2.368,0.632,1.947,2.737,2.947,0.632,0.478,visual,0.26,mouth,0.211,mouth
seltzer,1.333,3.667,1.143,0.476,0.714,2.81,0.176,0.941,1.588,3.588,0.941,0.315,gustatory,0.472,mouth,0.201,gustatory
send,1.294,0.059,1.118,0.529,0.118,2.471,0.45,2.5,1.75,0.5,0.4,0.432,visual,0.375,hand_arm,0.218,hand_arm
sense,3.312,2.625,2.812,3.625,2.688,3.062,2.048,2.857,3.952,3.048,1.857,0.055,interoceptive,0.152,head,0.066,head
sensible,2.056,0.167,0.444,2.222,0.167,2.833,0.632,0.632,2.421,1.105,0.632,0.338,visual,0.33,head,0.2,visual
sent,0.769,0.077,0.974,0.282,0.231,2.385,0.381,1.762,1.0,0.333,0.19,0.489,visual,0.429,hand_arm,0.275,visual
sentence,3.381,0.19,0.19,0.19,0.143,3.619,0.105,0.684,3.263,3.316,0.105,0.451,visual,0.43,mouth,0.231,visual
sentimental,1.882,0.353,0.176,2.706,0.471,1.765,1.0,0.85,3.9,1.95,1.1,0.344,interoceptive,0.347,head,0.231,head
separate,1.167,0.278,2.556,0.778,0.333,3.222,1.0,2.684,1.737,0.737,0.632,0.353,visual,0.302,hand_arm,0.195,visual
separating,1.684,0.368,3.158,0.895,0.105,3.737,0.8,3.25,2.4,1.0,0.2,0.365,visual,0.399,hand_arm,0.206,visual
separation,1.421,0.211,1.842,1.632,0.263,3.579,1.286,2.19,2.619,1.333,1.19,0.376,visual,0.166,head,0.192,visual
serene,2.647,0.176,0.824,3.0,0.706,3.294,1.35,1.3,3.6,1.5,1.2,0.293,visual,0.268,head,0.175,head
serenity,0.9,0.1,0.3,4.0,0.45,1.85,0.947,1.158,3.211,1.368,1.632,0.513,interoceptive,0.272,head,0.245,interoceptive
sermon,4.182,0.091,0.364,1.364,0.045,3.227,0.263,0.526,3.789,2.263,0.421,0.446,auditory,0.486,head,0.25,auditory
service,2.167,0.333,1.056,0.722,0.222,3.5,1.739,2.391,2.478,1.783,1.13,0.41,visual,0.142,head,0.187,visual
serving,0.765,0.647,1.118,0.059,0.059,3.0,1.05,3.1,2.45,0.75,1.05,0.521,visual,0.28,hand_arm,0.216,hand_arm
set,1.0,0.053,1.684,0.579,0.053,2.526,0.75,1.75,1.5,0.6,0.8,0.42,visual,0.213,hand_arm,0.219,visual
settle,1.2,0.0,0.933,1.8,0.267,2.067,1.762,1.524,1.905,1.238,1.19,0.33,visual,0.094,head,0.149,visual
settled,0.895,0.316,0.895,1.211,0.368,2.263,1.368,1.632,2.368,0.947,1.632,0.327,visual,0.179,head,0.148,head
settlement,2.2,0.0,0.0,0.35,0.1,3.65,0.7,1.15,2.45,1.35,0.25,0.579,visual,0.373,head,0.299,visual
settling,0.867,0.067,0.4,2.067,0.067,2.933,1.158,1.263,2.474,1.684,1.105,0.448,visual,0.178,head,0.204,visual
seven,0.882,0.0,0.059,0.353,0.0,2.235,0.45,1.75,2.3,1.1,0.15,0.633,visual,0.374,head,0.248,head
several,1.867,0.133,1.733,0.267,0.133,3.267,1.05,1.55,1.55,0.5,0.5,0.423,visual,0.204,head,0.25,visual
sewing,1.5,0.25,3.75,0.812,0.25,3.625,0.722,4.278,2.167,0.222,0.111,0.344,haptic,0.556,hand_arm,0.236,hand_arm
shade,0.237,0.105,0.789,1.158,0.132,4.184,1.5,1.95,2.6,1.2,1.5,0.618,visual,0.16,head,0.266,visual
shaded,0.294,0.118,0.294,0.412,0.059,3.647,0.737,1.053,1.684,0.421,0.789,0.744,visual,0.27,head,0.377,visual
shadow,0.059,0.176,0.235,0.412,0.294,4.647,0.85,0.9,2.85,0.45,0.85,0.788,visual,0.407,head,0.391,visual
shadowed,0.111,0.0,0.222,0.611,0.278,3.722,1.579,1.105,2.053,0.684,0.947,0.753,visual,0.215,head,0.329,visual
shady,1.447,0.184,0.526,1.237,0.211,3.632,1.158,1.421,2.684,1.737,1.421,0.476,visual,0.181,head,0.22,visual
shake,1.0,0.333,2.833,2.889,0.333,2.889,2.4,4.05,2.85,1.5,2.1,0.249,visual,0.198,hand_arm,0.16,hand_arm
shall,1.0,0.062,0.375,0.562,0.062,1.438,0.45,0.5,1.5,0.85,0.3,0.393,visual,0.333,head,0.202,head
shallow,1.722,0.0,2.5,0.611,0.0,3.389,0.944,1.167,2.444,1.167,0.333,0.412,visual,0.349,head,0.237,visual
shame,1.306,0.25,0.472,3.222,0.389,1.556,0.684,0.947,3.053,1.474,1.053,0.413,interoceptive,0.328,head,0.206,interoceptive
shape,0.235,0.118,3.471,0.471,0.0,4.706,0.952,2.667,2.905,0.619,0.952,0.523,visual,0.282,head,0.275,visual
shatter,3.879,0.03,1.545,0.576,0.03,3.939,1.324,2.529,2.176,0.735,0.794,0.391,visual,0.237,hand_arm,0.223,visual
shaved,0.556,0.167,4.278,1.111,0.722,3.833,2.7,2.45,3.4,0.75,1.2,0.385,haptic,0.252,head,0.194,haptic
shaving,1.0,0.062,3.688,0.688,0.75,4.0,1.889,3.111,3.389,1.611,1.5,0.387,visual,0.164,head,0.182,visual
shawl,0.448,0.0,3.414,0.31,0.207,3.828,0.125,3.062,1.438,0.188,2.688,0.466,visual,0.392,hand_arm,0.244,visual
shelter,0.833,0.222,2.611,1.278,0.556,4.222,1.389,1.833,2.0,0.778,1.167,0.411,visual,0.171,head,0.237,visual
sherry,0.231,3.538,0.385,1.154,1.923,2.308,0.062,0.562,1.625,2.375,0.5,0.347,gustatory,0.451,mouth,0.237,gustatory
shine,0.2,0.0,1.0,0.05,0.1,4.85,0.15,1.6,2.75,0.4,0.2,0.782,visual,0.51,head,0.429,visual
shining,0.471,0.0,0.294,0.353,0.059,4.294,0.056,0.944,2.333,0.167,0.056,0.785,visual,0.641,head,0.476,visual
