word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
symbol,0.632,0.0,1.0,0.263,0.0,4.526,0.421,1.0,3.474,0.684,0.474,0.705,visual,0.504,head,0.363,visual
symmetrical,0.333,0.056,1.444,0.389,0.056,3.556,1.0,2.0,3.0,0.882,1.294,0.6,visual,0.259,head,0.25,visual
symmetry,0.571,0.19,1.619,0.381,0.095,4.714,1.222,1.667,2.056,0.778,0.833,0.61,visual,0.195,head,0.327,visual
system,1.8,0.2,0.733,0.533,0.067,3.533,1.1,2.1,2.35,1.4,1.0,0.505,visual,0.17,head,0.234,visual
table,0.684,0.053,3.263,0.158,0.158,4.737,1.65,2.45,1.75,0.55,1.35,0.517,visual,0.245,hand_arm,0.279,visual
tablecloth,0.606,0.121,3.485,0.182,0.364,4.212,0.0,1.824,2.118,0.0,0.118,0.456,visual,0.522,head,0.323,visual
tables,0.529,0.0,3.118,0.294,0.176,4.412,1.25,2.8,2.0,0.35,1.0,0.517,visual,0.331,hand_arm,0.277,visual
tack,0.765,0.176,2.471,0.294,0.118,3.059,0.316,1.421,0.526,0.526,0.211,0.427,visual,0.404,hand_arm,0.298,visual
take,1.263,0.368,3.421,0.368,0.105,2.737,1.368,3.947,1.842,1.211,1.105,0.401,haptic,0.3,hand_arm,0.217,hand_arm
taken,0.875,0.188,1.25,1.25,0.062,3.25,0.4,2.25,1.65,0.65,0.4,0.464,visual,0.346,hand_arm,0.261,visual
talking,4.944,0.0,0.111,1.056,0.0,2.833,0.1,0.55,2.8,4.7,0.2,0.553,auditory,0.551,mouth,0.286,auditory
tall,0.632,0.263,0.526,0.632,0.263,4.632,1.737,1.053,2.211,0.474,2.421,0.629,visual,0.247,torso,0.294,visual
taller,0.0,0.105,0.474,0.474,0.0,4.105,2.8,1.35,2.0,0.25,2.5,0.796,visual,0.287,foot_leg,0.292,visual
tardy,1.75,0.0,0.05,1.2,0.0,2.45,1.25,0.95,2.2,1.05,0.8,0.45,visual,0.224,head,0.209,visual
target,0.895,0.053,1.105,1.0,0.211,3.684,1.526,2.316,3.158,0.526,1.421,0.523,visual,0.294,head,0.228,visual
tassel,0.267,0.0,2.667,0.067,0.2,3.667,0.111,1.444,1.556,0.0,0.167,0.534,visual,0.475,head,0.361,visual
taste,0.235,4.647,0.647,1.824,2.0,0.941,0.0,0.2,1.3,5.0,0.45,0.429,gustatory,0.719,mouth,0.29,mouth
tax,1.05,0.1,0.3,0.7,0.1,2.75,0.35,0.8,1.75,0.9,0.5,0.53,visual,0.326,head,0.285,visual
tea,0.765,4.647,1.412,1.353,3.412,2.941,0.0,1.333,2.111,4.389,0.333,0.267,gustatory,0.537,mouth,0.205,gustatory
tease,3.0,0.1,1.0,2.15,0.05,3.0,1.364,2.227,3.318,2.773,1.227,0.317,visual,0.192,head,0.162,head
teasing,3.176,0.059,1.059,2.706,0.118,2.588,0.5,1.1,2.3,3.5,0.25,0.321,auditory,0.425,mouth,0.198,mouth
teeth,1.235,1.176,2.941,2.059,0.412,4.176,0.095,0.714,1.667,4.476,0.19,0.314,visual,0.613,mouth,0.229,mouth
temperature,0.111,0.778,2.944,2.444,0.056,2.111,2.647,3.294,3.353,2.118,3.059,0.342,haptic,0.085,head,0.144,head
temporarily,1.647,0.647,0.853,1.0,0.676,2.206,0.484,0.581,2.161,0.903,0.484,0.222,visual,0.364,head,0.148,visual
temporary,2.0,0.368,0.789,1.263,0.368,2.684,0.3,0.7,2.05,0.9,0.4,0.31,visual,0.402,head,0.202,visual
temptation,1.588,1.294,1.765,3.706,1.529,2.529,0.278,0.389,3.111,1.444,0.389,0.194,interoceptive,0.505,head,0.19,interoceptive
ten,1.45,0.25,0.85,0.4,0.25,3.3,0.35,0.6,1.75,0.8,0.2,0.469,visual,0.419,head,0.304,visual
tendency,2.278,0.167,0.667,1.556,0.444,2.722,0.333,0.714,2.524,0.905,0.429,0.326,visual,0.447,head,0.201,visual
tender,1.722,0.556,2.611,3.0,0.167,2.222,0.81,3.333,2.619,2.095,1.048,0.276,interoceptive,0.255,hand_arm,0.157,hand_arm
tenderness,2.0,0.556,3.556,2.944,0.222,2.444,1.333,2.429,2.714,2.238,1.571,0.284,haptic,0.134,head,0.151,haptic
tending,1.278,0.056,1.556,1.056,0.0,2.167,0.778,2.667,2.389,0.722,0.667,0.355,visual,0.277,hand_arm,0.2,hand_arm
terrific,2.062,1.25,1.062,2.25,1.125,2.25,1.556,1.722,2.889,2.056,1.611,0.119,interoceptive,0.136,head,0.092,head
terror,2.444,0.556,0.889,3.611,0.611,3.167,1.0,1.263,2.789,1.474,1.053,0.271,interoceptive,0.236,head,0.162,interoceptive
thick,0.421,0.579,4.0,0.737,0.105,3.632,1.476,2.571,2.524,1.19,1.19,0.411,haptic,0.154,hand_arm,0.211,haptic
thickness,0.611,0.167,3.389,0.222,0.0,3.611,1.35,2.7,2.45,1.45,1.35,0.451,visual,0.145,hand_arm,0.209,visual
thin,0.25,0.1,3.3,0.3,0.05,3.65,1.421,2.316,1.947,1.053,2.053,0.471,visual,0.144,hand_arm,0.219,visual
thing,2.6,2.15,2.8,1.6,2.3,3.6,1.05,1.75,2.0,0.7,0.9,0.133,visual,0.203,head,0.135,visual
thinner,0.235,0.176,1.647,1.471,0.118,4.059,1.667,1.889,1.444,0.389,2.778,0.511,visual,0.293,torso,0.248,visual
third,1.0,0.0,0.688,0.25,0.0,3.062,0.05,0.4,1.75,0.55,0.05,0.612,visual,0.607,head,0.393,visual
thirstiness,0.444,1.056,0.278,4.111,0.333,0.722,0.0,0.095,1.524,4.095,1.476,0.552,interoceptive,0.57,mouth,0.291,interoceptive
thorough,2.3,0.3,1.35,1.05,0.3,3.35,0.947,2.0,3.053,1.474,0.842,0.353,visual,0.266,head,0.18,visual
thought,1.45,0.2,0.25,3.35,0.15,1.15,0.35,0.5,4.1,1.1,0.55,0.489,interoceptive,0.568,head,0.3,head
thoughtful,2.211,0.053,0.526,2.211,0.053,1.526,0.048,0.381,3.381,0.952,0.238,0.328,interoceptive,0.667,head,0.288,head
three,2.438,0.125,0.875,0.0,0.0,3.375,0.667,1.944,2.389,1.389,0.833,0.495,visual,0.238,head,0.24,visual
thunder,3.706,0.0,0.059,0.353,0.0,0.529,0.143,0.571,3.286,0.381,0.286,0.797,auditory,0.673,head,0.398,auditory
tick,1.333,0.167,2.389,1.5,0.056,3.778,1.143,2.857,1.81,0.286,1.0,0.404,visual,0.362,hand_arm,0.228,visual
ticket,0.6,0.0,2.55,0.0,0.0,3.65,0.55,3.4,2.35,0.75,0.3,0.537,visual,0.422,hand_arm,0.258,visual
tidiness,0.296,0.259,1.185,0.63,0.593,3.963,1.161,3.129,2.903,0.71,0.903,0.535,visual,0.275,hand_arm,0.235,visual
tied,0.526,0.0,3.105,1.0,0.0,3.789,1.9,3.55,2.3,1.0,1.45,0.45,visual,0.25,hand_arm,0.204,visual
tight,0.105,0.0,3.263,1.789,0.0,2.158,1.714,3.0,2.19,1.095,2.19,0.446,haptic,0.187,hand_arm,0.186,haptic
tightly,0.263,0.0,2.526,1.316,0.0,2.263,1.364,2.864,2.0,1.091,1.591,0.397,haptic,0.199,hand_arm,0.187,hand_arm
time,0.833,0.0,0.056,2.333,0.0,2.0,0.81,1.286,2.857,1.095,0.81,0.447,interoceptive,0.299,head,0.237,head
timely,2.0,0.0,0.067,1.733,0.2,1.733,1.105,1.105,2.263,1.368,0.842,0.349,auditory,0.213,head,0.182,head
tin,1.333,0.667,2.476,0.905,0.905,2.905,0.368,1.789,1.789,0.474,0.105,0.244,visual,0.372,head,0.204,visual
tiny,0.895,0.368,2.895,0.684,0.211,3.895,0.8,1.65,2.6,0.6,0.85,0.412,visual,0.308,head,0.239,visual
tired,1.541,0.027,0.216,4.432,0.108,2.405,3.053,3.105,3.263,2.684,2.895,0.505,interoceptive,0.039,head,0.186,interoceptive
toast,0.824,4.647,3.353,0.529,3.529,4.294,0.238,2.762,1.524,3.714,0.429,0.24,gustatory,0.401,mouth,0.171,gustatory
tobacco,0.529,2.941,2.765,1.176,3.706,3.765,0.176,1.765,2.412,3.588,0.647,0.217,visual,0.397,mouth,0.153,visual
today,1.056,0.278,0.278,1.778,0.278,2.5,1.143,1.429,2.714,1.571,1.333,0.36,visual,0.192,head,0.17,head
toe,0.158,0.158,3.474,1.158,0.789,4.368,4.25,0.3,0.85,0.05,0.05,0.417,visual,0.764,foot_leg,0.277,visual
together,1.842,0.316,1.421,1.737,0.316,4.316,1.45,2.6,3.3,1.7,1.3,0.402,visual,0.193,head,0.197,visual
tolerable,2.412,0.294,0.353,2.0,0.353,2.412,0.579,0.579,2.211,1.263,0.579,0.271,auditory,0.313,head,0.162,auditory
tomato,0.316,4.737,3.474,0.737,2.842,4.474,0.2,2.6,1.85,3.75,0.7,0.267,gustatory,0.39,mouth,0.177,gustatory
tongue,0.318,2.364,2.864,1.636,0.227,3.364,0.222,0.667,0.778,4.944,0.333,0.291,visual,0.68,mouth,0.267,mouth
took,1.059,0.0,2.412,0.353,0.059,3.412,0.9,3.45,1.35,0.55,0.9,0.468,visual,0.406,hand_arm,0.239,hand_arm
top,0.706,0.471,1.471,0.647,0.118,4.118,0.65,1.5,2.4,1.0,0.9,0.531,visual,0.271,head,0.286,visual
torch,0.235,0.0,1.706,0.118,0.882,4.118,0.15,2.35,0.95,0.2,0.45,0.583,visual,0.537,hand_arm,0.369,visual
torn,1.222,0.111,2.056,1.389,0.111,2.833,0.476,2.0,2.286,0.571,0.333,0.353,visual,0.345,head,0.203,visual
touch,0.562,0.0,4.875,1.312,0.0,2.625,1.85,4.9,1.9,1.3,1.45,0.52,haptic,0.316,hand_arm,0.236,hand_arm
towel,0.522,0.0,4.13,0.261,0.522,4.348,2.619,3.905,2.524,0.714,2.952,0.444,visual,0.251,hand_arm,0.193,visual
town,2.053,0.053,0.737,0.368,0.842,4.263,2.095,1.381,2.952,1.333,1.381,0.506,visual,0.177,head,0.241,visual
transfer,1.136,0.182,1.273,0.773,0.136,2.273,1.7,3.45,2.45,0.85,1.1,0.37,visual,0.272,hand_arm,0.216,hand_arm
translate,4.105,0.105,0.368,0.211,0.105,3.263,0.15,1.05,2.65,3.1,0.4,0.49,auditory,0.401,mouth,0.258,auditory
tray,0.737,0.0,3.421,0.158,0.053,3.684,0.647,3.176,1.824,0.235,0.529,0.458,visual,0.459,hand_arm,0.255,visual
treading,1.588,0.0,1.412,0.529,0.0,2.941,2.909,1.636,1.227,0.5,1.091,0.455,visual,0.327,foot_leg,0.213,visual
treat,0.938,2.938,1.5,0.5,1.062,2.75,0.2,1.5,2.15,3.7,0.45,0.252,gustatory,0.438,mouth,0.198,mouth
tree,1.45,0.3,2.9,0.6,1.5,4.75,0.6,2.45,2.95,0.3,0.65,0.387,visual,0.381,head,0.241,visual
trembling,1.0,0.116,3.047,4.442,0.093,2.651,3.227,3.773,1.455,1.0,2.773,0.383,interoceptive,0.227,hand_arm,0.184,interoceptive
tribune,2.364,0.273,0.545,0.273,0.364,1.909,0.0,0.214,2.071,0.357,0.0,0.365,auditory,0.784,head,0.282,auditory
trick,2.111,0.0,0.278,0.833,0.0,3.778,1.1,2.15,3.0,1.9,1.05,0.54,visual,0.212,head,0.233,visual
trimming,2.0,0.111,2.833,0.278,0.167,4.389,0.238,3.0,1.524,0.333,0.333,0.438,visual,0.509,hand_arm,0.281,visual
triumphant,2.65,0.05,0.65,2.75,0.15,2.85,0.952,1.238,2.095,1.571,1.0,0.308,visual,0.167,head,0.175,visual
trouble,2.765,0.176,0.353,1.529,0.471,3.412,0.7,1.05,2.5,1.7,0.65,0.372,visual,0.28,head,0.211,visual
true,3.0,0.2,0.7,2.35,0.3,2.75,0.1,0.5,3.0,2.45,0.4,0.301,auditory,0.45,head,0.184,auditory
trunk,1.105,0.0,2.053,0.053,0.211,3.737,1.286,2.714,2.333,0.429,0.81,0.522,visual,0.302,hand_arm,0.254,visual
trusting,1.833,0.111,0.278,3.5,0.111,2.056,0.81,1.095,3.095,1.762,0.905,0.43,interoceptive,0.298,head,0.218,interoceptive
truth,2.722,0.0,0.111,1.5,0.0,2.222,0.05,0.25,3.95,3.4,0.4,0.415,auditory,0.484,head,0.27,head
trying,1.556,0.222,0.667,1.778,0.056,3.278,1.75,1.95,2.35,1.45,1.3,0.426,visual,0.119,head,0.197,visual
tuesday,1.333,0.0,0.056,0.722,0.0,1.611,0.3,0.3,1.9,0.5,0.3,0.433,visual,0.485,head,0.271,head
tumbler,0.357,0.143,2.429,0.143,0.214,3.357,1.765,2.529,1.706,0.765,1.353,0.484,visual,0.217,hand_arm,0.218,visual
tune,4.19,0.143,0.571,0.952,0.048,1.095,0.526,1.053,2.895,1.421,0.368,0.592,auditory,0.403,head,0.312,auditory
turkey,2.158,4.053,2.632,1.0,3.0,4.105,0.105,1.263,1.789,2.474,0.789,0.183,visual,0.369,mouth,0.171,visual
turn,0.444,0.222,0.5,1.278,0.167,3.889,2.55,2.5,2.1,0.5,2.05,0.573,visual,0.211,foot_leg,0.23,visual
turned,0.571,0.429,1.667,1.095,0.429,3.143,1.9,2.0,2.95,0.5,2.25,0.37,visual,0.255,head,0.16,visual
turning,1.133,0.267,1.267,1.6,0.4,3.667,2.684,3.105,3.105,0.421,2.737,0.408,visual,0.223,hand_arm,0.167,visual
turtle,0.556,0.278,1.944,0.111,0.5,4.278,0.789,1.632,1.684,0.263,0.316,0.543,visual,0.303,head,0.337,visual
two,1.882,0.824,2.294,0.647,0.529,3.765,1.571,1.905,1.905,0.714,0.381,0.325,visual,0.235,hand_arm,0.206,visual
type,1.788,0.485,2.424,0.485,0.394,3.242,0.158,3.684,1.947,0.211,0.368,0.323,visual,0.554,hand_arm,0.232,hand_arm
tyrannical,1.75,0.125,0.25,1.062,0.125,1.938,0.727,0.682,2.409,1.591,0.636,0.345,visual,0.293,head,0.202,head
umbrella,1.053,0.0,3.158,0.368,0.053,4.684,0.059,3.765,1.235,0.059,0.353,0.503,visual,0.677,hand_arm,0.317,visual
understood,2.588,0.0,0.176,2.0,0.0,2.118,0.579,0.684,4.211,2.053,0.421,0.376,auditory,0.477,head,0.284,head
undertaker,1.471,0.176,0.882,0.294,0.294,3.529,0.3,0.4,1.15,0.45,0.3,0.504,visual,0.327,head,0.363,visual
unequal,1.85,0.2,1.1,1.15,0.25,2.95,0.444,1.222,1.722,0.722,0.444,0.367,visual,0.28,head,0.228,visual
uneven,0.368,0.105,2.368,0.789,0.053,3.316,1.75,1.45,1.95,0.65,0.65,0.466,visual,0.202,head,0.243,visual
union,1.333,0.333,0.833,0.556,0.333,2.056,0.263,0.737,2.474,1.053,0.316,0.316,visual,0.457,head,0.215,head
unordered,1.579,0.053,0.947,0.474,0.0,2.632,0.8,1.55,2.3,1.0,0.7,0.463,visual,0.252,head,0.219,visual
unprecedented,1.545,0.545,0.485,1.182,0.303,1.758,0.474,0.895,1.947,1.211,0.474,0.25,visual,0.295,head,0.152,head
unrepeated,1.938,0.062,0.562,0.25,0.25,2.312,0.7,0.6,1.25,0.85,0.7,0.419,visual,0.159,head,0.237,visual
untidy,0.526,0.158,1.684,0.421,1.368,4.421,0.842,1.368,2.474,0.842,0.684,0.497,visual,0.288,head,0.288,visual
unwelcome,1.733,0.133,0.933,2.867,0.467,2.067,0.368,0.526,2.316,1.526,0.684,0.333,interoceptive,0.359,head,0.201,interoceptive
upon,0.688,0.0,0.812,0.375,0.0,1.625,1.316,1.0,1.053,0.789,0.632,0.464,visual,0.143,foot_leg,0.196,visual
upper,0.625,0.0,0.938,0.25,0.0,3.312,1.0,1.5,2.1,1.05,1.05,0.646,visual,0.164,head,0.28,visual
upright,0.389,0.111,1.222,1.111,0.222,3.778,2.55,1.95,2.4,0.55,3.2,0.537,visual,0.249,torso,0.21,visual
urgent,2.389,0.0,0.278,2.222,0.167,2.056,1.9,1.9,3.8,2.0,1.4,0.336,auditory,0.218,head,0.21,head
urging,1.647,0.294,0.824,3.059,0.176,1.235,0.684,1.316,2.579,1.789,1.158,0.398,interoceptive,0.252,head,0.195,interoceptive
us,1.571,0.286,1.286,1.514,0.4,2.686,0.771,1.486,1.971,1.571,0.886,0.31,visual,0.179,head,0.166,visual
usage,1.579,0.895,1.842,1.0,0.737,2.632,1.75,2.35,2.55,1.8,1.2,0.218,visual,0.14,head,0.103,visual
use,1.389,1.167,2.778,1.0,1.222,2.111,2.765,3.471,2.941,2.059,2.059,0.184,haptic,0.106,hand_arm,0.108,hand_arm
used,1.111,0.278,2.111,0.722,0.722,3.278,0.95,2.25,2.15,0.85,0.85,0.365,visual,0.199,hand_arm,0.196,visual
useful,2.2,0.4,1.3,1.5,0.2,3.75,1.048,1.381,2.095,1.0,0.619,0.38,visual,0.24,head,0.229,visual
useless,0.625,0.0,0.062,1.5,0.0,1.625,0.952,1.095,2.619,0.952,0.952,0.426,visual,0.254,head,0.252,head
uselessly,1.824,0.176,0.412,0.824,0.118,2.412,0.571,0.905,2.143,0.81,0.667,0.398,visual,0.308,head,0.211,visual
utter,2.933,0.0,0.6,0.867,0.0,1.0,0.158,1.0,2.0,3.474,0.263,0.543,auditory,0.481,mouth,0.283,mouth
uttermost,1.615,0.462,0.615,1.0,0.385,1.923,0.059,0.353,0.471,0.529,0.059,0.256,visual,0.32,mouth,0.25,visual
vacant,1.333,0.333,0.889,0.5,0.333,3.5,0.773,0.955,2.5,0.727,0.773,0.46,visual,0.31,head,0.251,visual
vacation,2.19,1.333,1.381,1.952,1.333,3.333,1.632,1.368,2.263,1.474,1.053,0.174,visual,0.155,head,0.118,visual
vagueness,3.1,0.15,0.2,1.0,0.15,2.3,0.048,0.143,1.667,1.286,0.19,0.428,auditory,0.486,head,0.298,auditory
valor,1.714,0.071,0.571,2.571,0.0,2.714,1.067,1.267,2.0,1.2,1.267,0.355,visual,0.137,head,0.188,visual
valuable,1.19,0.0,0.905,1.381,0.0,2.762,0.333,0.762,2.667,1.286,0.381,0.443,visual,0.43,head,0.237,visual
vanity,1.971,0.0,0.486,1.343,0.143,3.543,0.579,0.842,2.842,1.789,0.737,0.473,visual,0.333,head,0.248,visual
vapor,0.211,1.053,0.842,0.895,2.0,3.0,0.25,0.8,2.5,2.35,0.7,0.349,visual,0.341,head,0.191,visual
varnish,0.118,0.0,2.059,0.118,2.353,3.294,0.15,2.25,1.2,0.5,0.2,0.415,visual,0.488,hand_arm,0.269,visual
vary,1.875,0.875,1.125,1.375,0.875,2.875,1.35,1.45,1.65,1.8,1.15,0.222,visual,0.088,mouth,0.122,visual
veal,0.235,3.471,1.941,0.471,1.824,3.0,0.368,1.158,2.211,2.579,0.789,0.296,gustatory,0.311,mouth,0.179,gustatory
vegetable,0.176,4.176,2.706,0.588,2.765,3.941,0.316,2.368,1.895,3.0,0.737,0.279,gustatory,0.323,mouth,0.176,gustatory
veil,0.294,0.0,2.235,0.176,0.0,4.0,0.263,1.579,3.211,0.947,0.526,0.596,visual,0.452,head,0.302,visual
venture,1.875,0.062,0.312,0.812,0.125,3.312,2.0,1.429,1.952,1.0,0.714,0.5,visual,0.181,foot_leg,0.239,visual
victory,2.905,0.19,0.476,1.714,0.286,3.524,0.895,1.368,2.474,1.263,1.053,0.366,visual,0.224,head,0.206,visual
violence,3.368,0.263,1.842,1.579,0.263,4.105,2.8,3.65,3.8,2.25,2.3,0.336,visual,0.105,head,0.147,visual
violent,2.211,0.0,1.158,1.789,0.053,3.579,1.95,2.45,2.25,1.5,1.3,0.407,visual,0.122,hand_arm,0.196,visual
violet,0.053,0.053,1.053,0.0,1.632,4.526,0.35,0.5,2.55,0.75,0.35,0.619,visual,0.489,head,0.383,visual
virgin,1.056,0.278,0.667,1.444,0.389,1.667,0.15,0.3,1.55,0.65,1.0,0.253,visual,0.384,head,0.166,visual
virtue,1.235,0.176,0.412,3.353,0.235,1.647,0.8,0.75,2.9,1.45,0.85,0.45,interoceptive,0.319,head,0.23,interoceptive
visible,0.118,0.0,0.353,0.294,0.0,4.941,0.636,0.818,3.636,1.045,0.727,0.866,visual,0.437,head,0.393,visual
vision,0.474,0.474,0.421,0.895,0.368,4.737,0.238,0.714,5.0,0.286,0.19,0.593,visual,0.748,head,0.349,head
voice,4.75,0.375,0.688,1.812,0.5,1.125,0.053,0.053,2.684,4.737,0.474,0.473,auditory,0.586,mouth,0.272,auditory
volume,3.684,0.105,0.421,1.0,0.211,1.316,0.476,1.667,3.714,1.095,0.619,0.531,auditory,0.428,head,0.252,head
volumes,2.526,0.158,1.632,0.263,0.105,3.053,0.1,1.05,3.25,0.55,0.2,0.381,visual,0.612,head,0.244,head
wagon,1.556,0.0,1.722,0.278,0.167,3.889,1.947,2.526,1.842,0.158,1.737,0.511,visual,0.288,hand_arm,0.246,visual
waist,0.211,0.105,2.105,0.947,0.421,3.316,0.7,1.3,0.65,0.3,3.7,0.452,visual,0.511,torso,0.261,torso
waiter,2.647,0.118,0.118,0.118,0.176,3.765,1.5,1.722,2.722,2.556,0.944,0.525,visual,0.188,head,0.223,visual
waiting,0.579,0.0,0.211,1.895,0.0,1.737,1.238,1.476,2.667,0.952,1.333,0.429,interoceptive,0.224,head,0.221,head
wake,1.833,0.111,1.056,3.944,0.389,2.444,1.15,1.3,3.15,0.75,1.05,0.392,interoceptive,0.324,head,0.223,interoceptive
walking,2.25,0.0,1.562,3.125,0.062,3.938,4.632,1.105,1.526,0.421,1.474,0.36,visual,0.46,foot_leg,0.23,foot_leg
wall,0.0,0.0,2.944,0.167,0.0,4.444,1.316,1.684,1.474,0.526,1.053,0.588,visual,0.191,hand_arm,0.327,visual
warmer,0.278,0.167,3.889,3.056,0.222,1.111,2.2,2.6,2.5,2.2,2.45,0.427,haptic,0.033,hand_arm,0.18,haptic
washed,1.125,0.188,2.0,0.562,2.0,3.75,2.692,4.385,2.692,2.077,3.0,0.37,visual,0.155,hand_arm,0.172,hand_arm
washing,2.235,0.0,4.059,0.412,1.471,4.235,1.9,4.15,2.65,0.75,2.05,0.341,visual,0.296,hand_arm,0.177,visual
wasted,1.333,0.278,0.389,2.389,0.556,2.611,0.6,1.3,1.85,1.15,0.75,0.309,visual,0.221,head,0.177,visual
water,2.857,3.667,3.524,1.048,0.571,4.19,1.895,3.211,2.842,4.0,2.105,0.228,visual,0.15,mouth,0.121,visual
watermelon,0.474,4.684,3.474,1.0,3.684,4.263,0.421,2.053,1.842,3.316,0.684,0.24,gustatory,0.348,mouth,0.165,gustatory
waving,0.2,0.067,0.6,0.933,0.2,4.533,0.15,4.5,1.15,0.25,0.25,0.684,visual,0.69,hand_arm,0.348,visual
wax,0.3,1.2,3.25,0.5,2.4,3.6,1.9,2.9,1.8,0.4,1.1,0.293,visual,0.309,hand_arm,0.171,visual
way,1.375,0.5,0.875,1.062,0.688,4.0,0.85,0.65,2.1,0.6,0.35,0.412,visual,0.385,head,0.28,visual
ways,1.167,0.444,0.722,0.444,0.333,2.611,0.7,0.65,1.35,0.65,0.45,0.398,visual,0.237,head,0.239,visual
weak,1.278,1.0,1.278,3.556,0.778,2.167,2.95,2.95,3.0,2.2,2.75,0.276,interoceptive,0.058,head,0.116,interoceptive
wealthy,1.059,0.118,0.471,0.765,0.235,2.882,1.105,1.737,2.789,1.842,1.211,0.5,visual,0.194,head,0.195,visual
wear,0.526,0.263,3.105,1.105,0.263,2.947,3.526,3.263,2.316,0.947,3.684,0.346,haptic,0.199,torso,0.156,torso
wearing,0.176,0.0,2.471,1.059,0.294,3.824,4.3,3.75,3.35,0.95,4.15,0.489,visual,0.203,foot_leg,0.177,foot_leg
weather,2.944,0.222,2.111,1.222,1.556,4.0,1.045,1.545,3.045,1.227,1.227,0.313,visual,0.247,head,0.188,visual
wedding,3.421,0.474,0.789,1.632,0.632,4.632,2.25,2.3,3.45,2.7,1.85,0.359,visual,0.127,head,0.172,visual
week,0.947,0.0,0.0,0.368,0.053,1.895,1.158,1.053,2.684,1.579,1.158,0.581,visual,0.214,head,0.246,head
weight,0.824,0.059,2.529,1.941,0.118,3.0,2.35,2.5,1.95,0.6,3.15,0.347,visual,0.242,torso,0.163,torso
well,0.706,0.118,0.353,2.0,0.059,2.0,0.85,1.3,2.1,1.7,0.9,0.371,interoceptive,0.182,head,0.169,head
went,1.167,0.111,0.556,0.944,0.056,3.889,1.8,1.15,1.4,0.75,1.15,0.57,visual,0.168,foot_leg,0.296,visual
west,0.4,0.1,0.25,0.4,0.05,2.9,1.238,1.19,2.238,0.571,0.81,0.695,visual,0.276,head,0.281,visual
wet,1.636,1.182,4.5,2.0,0.955,3.045,2.524,3.143,2.333,3.238,2.429,0.266,haptic,0.066,mouth,0.131,haptic
wetting,1.0,0.25,3.45,0.7,0.55,3.85,0.857,1.714,1.333,1.381,1.619,0.367,visual,0.124,hand_arm,0.216,visual
wheel,1.562,0.062,1.938,0.125,0.25,3.75,0.842,2.632,2.632,0.158,0.211,0.48,visual,0.382,head,0.26,visual
white,0.3,0.0,0.05,0.0,0.0,4.6,0.4,0.65,2.8,0.4,0.5,0.929,visual,0.505,head,0.474,visual
whiteness,0.579,0.053,0.105,0.474,0.053,4.316,0.471,0.706,3.294,1.0,0.529,0.764,visual,0.471,head,0.368,visual
whitening,0.421,0.158,0.474,0.316,0.368,3.579,0.05,0.8,1.3,2.2,0.05,0.644,visual,0.489,mouth,0.363,visual
whole,0.946,0.784,2.135,0.892,0.514,3.324,1.562,1.938,2.656,1.688,1.625,0.327,visual,0.116,head,0.156,visual
wholesale,0.867,0.0,0.133,0.133,0.0,1.8,1.056,1.5,2.111,0.944,1.167,0.614,visual,0.172,head,0.217,head
wide,0.118,0.0,1.765,0.412,0.0,3.706,0.714,1.524,1.571,0.524,0.762,0.618,visual,0.206,head,0.334,visual
wideness,0.235,0.059,1.118,0.706,0.059,4.118,1.0,1.75,2.25,0.75,1.25,0.645,visual,0.214,head,0.305,visual
widow,2.27,0.27,0.541,0.865,0.297,2.865,0.389,0.861,2.111,1.167,0.75,0.365,visual,0.326,head,0.209,visual
width,0.35,0.25,3.1,0.4,0.1,4.3,0.882,2.235,3.0,0.471,0.824,0.494,visual,0.341,head,0.264,visual
wild,2.382,0.706,0.912,2.441,1.235,3.324,1.471,1.794,3.118,1.735,1.471,0.238,visual,0.172,head,0.127,visual
willow,0.643,0.0,1.0,0.071,0.429,4.0,0.176,0.588,2.471,0.0,0.471,0.651,visual,0.667,head,0.406,visual
win,2.55,0.05,0.35,2.65,0.0,3.35,1.105,1.368,3.105,1.053,1.105,0.374,visual,0.265,head,0.201,visual
wind,3.062,0.0,3.688,0.25,0.625,1.062,2.368,3.105,3.526,2.368,2.842,0.424,haptic,0.081,head,0.161,haptic
winding,1.684,0.474,1.947,1.211,0.368,3.368,0.8,2.6,0.9,0.25,0.35,0.331,visual,0.48,hand_arm,0.224,visual
window,0.765,0.118,2.412,0.118,0.118,4.706,0.35,2.5,3.3,0.45,0.55,0.557,visual,0.413,head,0.298,visual
wine,0.739,4.304,1.478,1.87,3.609,3.304,0.333,1.833,2.278,4.222,0.667,0.233,gustatory,0.417,mouth,0.161,gustatory
winged,1.167,0.111,0.944,0.278,0.111,3.278,0.263,1.684,1.526,0.158,0.842,0.538,visual,0.341,hand_arm,0.306,visual
winning,2.15,0.05,0.95,3.2,0.1,3.3,1.556,1.944,2.556,1.667,1.389,0.333,visual,0.128,head,0.172,visual
winningly,1.944,0.167,0.611,1.389,0.111,2.611,0.444,1.167,2.722,2.0,0.667,0.366,visual,0.325,head,0.189,head
