word,appears_in
umbrella,"['7to', '20to', '33to']"
curve,"['7po', '58po']"
loud,"['7po', '43po', '67po']"
extra,"['7po', '31po', '58po', '68po', '72po', '80po', '89po', '102po']"
clash,['7po']
wagon,"['7po', '109po']"
sac [sack],['7po']
small,"['7po', '11po', '58po', '61po', '109po']"
established,"['7po', '10po', '59po', '109po']"
cunning,"['7po', '65po']"
slender,"['7po', '12po', '17po', '24po', '58po', '94po']"
grey,"['7po', '10po', '14po', '54po', '60po']"
loss,"['7po', '60po', '109po']"
great,['7po']
restitution,['7po']
method,['8to']
cloak,['8to']
climb,"['8po', '35po', '53po', '64po']"
line,"['8po', '13po', '59po', '61po', '68po', '109po']"
straight,"['8po', '98po']"
cane,"['8po', '66po']"
desperate,['8po']
adventure,['8po']
courage,"['8po', '58po']"
clock,['8po']
feeling,"['8po', '58po']"
resignation,"['8po', '58po', '59po', '109po']"
success,"['8po', '58po', '109po']"
attractive,['8po']
silver,"['8po', '10po', '12po', '58po', '109po']"
stamp,"['9to', '45po', '109po']"
lilies [lily],['9po']
lily,['9po']
exhaust,"['9po', '68po']"
noise,"['9po', '61po', '97po', '109po']"
distance,"['9po', '109po']"
dust,"['9po', '10po']"
dusty,"['9po', '10po', '109po']"
surface,"['9po', '58po', '109po']"
grace,"['9po', '22po']"
need,"['9po', '60po', '69po', '78po', '109po']"
catalogue,['9po']
2 [two],"['10to', '64to', '75to', '87to', '93to', '98to', '103to', '107to']"
large,"['10po', '42po', '58po', '63po', '71po']"
handily,['10po']
made,"['10po', '12po', '24po', '37po', '38po', '41po', '59po', '62po', '72po', '108po', '109po']"
replace,"['10po', '109po']"
suppose,"['10po', '12po', '52to', '52po', '54po', '58po', '84po', '105po', '108po', '109po']"
example,"['10po', '24po', '69po', '95po', '109po']"
plainer,"['10po', '109po']"
outward,['10po']
recognition,"['10po', '58po', '63po']"
result,"['10po', '58po', '60po', '72po']"
sometimes,['10po']
neatly,['10po']
holes [hole],"['10po', '63po']"
stopped,['10po']
paper,"['10po', '28to', '28po', '109po']"
used,"['10po', '15po', '60po', '109po']"
taken,"['10po', '18po']"
part,"['10po', '107po']"
different,"['10po', '52po', '58po', '109po']"
connections [connection],['10po']
two,"['10po', '24po', '54po', '59po', '61po', '63po', '72po', '109po']"
length,"['10po', '13po', '15po', '29po', '58po', '109po']"
shown,"['10po', '11po', '18po', '109po']"
longer,"['10po', '17po', '58po', '95po', '109po']"
corners [corner],"['10po', '66po', '109po']"
shade,"['10po', '59po', '69po', '71po', '91po', '109po']"
eight,['10po']
singular,"['10po', '58po', '60po', '65po', '80po']"
make,"['10po', '24po', '29po', '35po', '58po', '59po', '60po', '78po', '91po', '95po', '109po']"
four,"['10po', '37po', '58po', '59po', '109po']"
lax,['10po']
lighter,"['10po', '109po']"
weight,"['10po', '58po', '60po', '95po', '109po']"
indicate,['10po']
wedding,"['10po', '45po', '53po', '60po', '85po']"
journey,['10po']
last,"['10po', '18po', '49po', '91po', '109po']"
brown,"['10po', '44to', '44po', '56po', '60po']"
curious,"['10po', '59po']"
wealthy,['10po']
cigarettes [cigarette],['10po']
doubling,['10po']
left,"['10po', '18po', '35po', '59po', '92po', '93po', '95po', '109po']"
open,"['10po', '16po', '19po', '52po', '60po', '61po', '63po', '109po']"
pounded [pound],['10po']
closed,"['10po', '63po']"
circulating [circulate],['10po']
summer,"['10po', '12po', '52po', '58po', '79to', '109po']"
winter,"['10po', '12po', '95po', '109po']"
sick,['10po']
sure,['10po']
measure,"['10po', '58po', '95po', '109po']"
choice,"['10po', '48po', '58po', '60po', '69po', '107po', '109po']"
winged,['10po']
pieces [piece],['10po']
washed,['10po']
say,"['10po', '27po', '29po', '35po', '45po', '49po', '51po', '52po', '54po', '68po', '69po', '88po', '97po', '109po']"
fitting,"['10po', '109po']"
idle,['10po']
cloister [monastery],['10po']
spark,"['10po', '109po']"
brighter [bright],['10po']
hardly,"['10po', '19po', '58po', '109po']"
ever,"['10po', '17po', '20po', '60po']"
plate,"['11to', '11po', '27po', '53po', '54po', '58po', '60po']"
occasion,"['11po', '21po', '28po', '58po', '60po', '97po', '109po']"
occasional,"['11po', '12po']"
resource,"['11po', '58po']"
buying [buy],['11po']
soon,['11po']
enable,['11po']
neater [neat],['11po']
party,['11po']
clever,['11po']
song,"['11po', '109po']"
plates [plate],"['11po', '58po', '66po', '109po']"
dinner,"['11po', '58po', '68po', '95to', '109po']"
set,"['11po', '45po', '95po', '109po']"
colored,"['11po', '22po', '42to', '42po', '54po', '60po', '61po', '63po', '66po']"
china,"['11po', '85po', '108po', '109po']"
pack,['11po']
protect,['11po']
centre [center],"['11po', '16po', '24po', '25po', '58po', '59po', '60po', '102po', '108to', '109po']"
considerable,['11po']
haste,['11po']
gather,"['11po', '58po']"
cooling,['11po']
collect,['11po']
trembling,"['11po', '58po']"
church,"['11po', '109po']"
sad,"['11po', '109po']"
size,"['11po', '32po', '52po', '58po', '69po', '109po']"
every,"['11po', '13po', '58po', '71po', '109po']"
bit,"['11po', '18po', '37to', '109po']"
precocious,"['11po', '65po']"
game,"['11po', '109po']"
flat,['11po']
particular,"['11po', '15po', '58po', '59po', '82po']"
breaking,['11po']
losing,['11po']
splendid,"['11po', '59po']"
address,['11po']
really,"['11po', '17po', '41po', '42po', '45po', '54po', '58po', '60po', '63po', '97po', '109po']"
flower,"['11po', '42po', '54po', '60po', '78po', '109po']"
freely,['11po']
mark,"['11po', '29po']"
wetting,"['11po', '109po']"
cut,"['11po', '24po', '40po', '45po', '61po', '62po', '65po', '74po', '83po', '93po', '98po', '109po']"
lately,['11po']
stem,['11po']
starting,['11po']
evening,"['11po', '58po', '109po']"
coming,['11po']
complication,['11po']
lamp,"['11po', '109po']"
cake,"['11po', '59po', '60po', '72to', '72po', '84po', '99po', '109po']"
stone,"['11po', '109po']"
plan,"['11po', '60po']"
hearty,['11po']
compressed,['11po']
disease,['11po']
incline,"['11po', '60po']"
excess,['11po']
break,"['11po', '68po']"
filling,['11po']
seltzer,['12to']
bottle,"['12to', '109po']"
neglect,"['12po', '58po', '70po']"
particles [particle],['12po']
cracking,['12po']
around,"['12po', '58po', '61po']"
lead,"['12po', '54po']"
discolor,['12po']
manifold,['12po']
selected,"['12po', '61po']"
assured,"['12po', '109po']"
extract,['12po']
permitted,['12po']
handling,['12po']
needed [need],"['12po', '109po']"
rest,"['12po', '18po', '54po', '58po', '62po', '67po', '94po', '97po', '109po']"
mixed,"['12po', '59po', '60po', '61po', '109po']"
long,"['12po', '13to', '13po', '19po', '24po', '58po', '72po']"
needle,['12po']
border,"['12po', '109po']"
dress,"['12po', '13to', '52po', '57to']"
actual,"['12po', '17po', '60po']"
mean,"['12po', '47po', '54po', '58po', '59po', '88po', '109po']"
state,"['12po', '53po', '78po', '109po']"
august,['12po']
melodiously,['12po']
incident,['12po']
middle,"['12po', '51po', '58po', '59po', '63po', '109po']"
settlement,"['12po', '62po', '63po', '109po']"
consequence,"['12po', '109po']"
final,"['12po', '60po']"
sufficient,['12po']
substituted,['12po']
kindly,"['12po', '58po']"
constant,"['12po', '63po']"
current,"['13po', '109po']"
machinery,['13po']
crackle,['13po']
presents [present],['13po']
waist,"['13po', '35to']"
wind,"['13po', '109po']"
serene,['13po']
dark,"['13po', '14po', '16po', '35po', '59po', '63po', '72po', '109po']"
scarlet,['13po']
bow,"['13po', '45po']"
distinguishes [distinguish],['13po']
hat,"['14to', '42po', '53po', '72po', '109po']"
monstrous,['14po']
ordinarily,"['14po', '17po', '60po']"
argument,['14po']
better,"['14po', '58po', '67po', '73po']"
stretched [stretch],['14po']
coat,"['15to', '15po', '53po', '109po']"
guided [guide],['15po']
width,"['15po', '109po']"
shadow,"['15po', '58po', '61po', '109po']"
piano,['16to']
speed,"['16po', '109po']"
careless,"['16po', '27to', '109po']"
strong,"['16po', '58po', '60po']"
scent,['16po']
awkward,"['16po', '109po']"
button,['16po']
holder,['16po']
held [hold],"['16po', '109po']"
waving,['16po']
none,"['16po', '58po', '109po']"
scarcely,['16po']
acted [act],['16po']
restraint,"['16po', '58po', '60po']"
shuts [shut],['16po']
lifts [lift],['16po']
awkwardly,['16po']
chair,"['17to', '58po', '109po']"
widow,['17po']
wise,['17po']
veil,['17po']
garments [garment],['17po']
shadows [shadow],"['17po', '58po', '65po']"
addresses [address],['17po']
stage,['17po']
learning,"['17po', '59po']"
regular,"['17po', '22po', '45po', '106po', '109po']"
severest [severe],['17po']
preserved [preserve],"['17po', '58po']"
always,"['17po', '58po', '109po']"
authorised [authorized],"['17po', '36po', '109po']"
suitable,['17po']
establishment,['17po']
well,"['17po', '25po', '58po', '61po', '71po', '82po', '97po', '109po']"
housed [accommodate],['17po']
practical,"['17po', '61po', '109po']"
patient,['17po']
staring,['17po']
bedding,['17po']
particularly,['17po']
complaining [complain],['17po']
fact,"['17po', '109po']"
direction,['17po']
sudden,"['17po', '24po', '29po', '32po', '58po', '60po', '61po', '62po', '63po', '65po', '109po']"
sofa,['17po']
main,['17po']
action,"['17po', '60po', '109po']"
without,"['17po', '109po']"
blaming,['17po']
custody,['17po']
practice,"['17po', '60po']"
measurement,['17po']
betrayal,['17po']
showing,"['17po', '63po']"
wearing,['17po']
circular,"['17po', '109po']"
else,"['17po', '109po']"
choose,"['17po', '45po', '58po', '61po']"
ended,['17po']
treat,['17po']
seat,"['17po', '60po', '67po', '70po']"
practiced,"['17po', '58po']"
easily,"['17po', '59po']"
pick,"['17po', '53po']"
barn,['17po']
bend,['17po']
accents [accent],['17po']
shine,"['17po', '48po', '58po', '109po']"
darkness,"['17po', '59po', '109po']"
necessarily,"['17po', '37po', '60po']"
actually,['17po']
aching,['17po']
stubborn,['17po']
bloom,['17po']
artificial,['17po']
binding,['17po']
accident,['17po']
animosity,['17po']
accentuation,['17po']
diminishing [diminish],['17po']
complexion,['17po']
rubbing,"['17po', '58po', '109po']"
special,"['17po', '60po', '109po']"
protection,"['17po', '60po']"
frightful,['18to']
release,['18to']
bag,['18po']
turned,"['18po', '109po']"
found,"['18po', '71po']"
exchanged [exchange],['18po']
mismanaged [mismanage],['18po']
purse,"['19to', '19po']"
straw,"['19po', '109po']"
seen,"['19po', '62po', '63po', '66po', '69po', '109po']"
chain,"['19po', '61po', '62po']"
missing,['19po']
misplaced [misplace],['19po']
mounted,"['20to', '43po']"
leaving,['20po']
would,"['20po', '58po', '95po', '97po', '98po', '109po']"
