word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
sinecure,['1po'],0.923,hand_arm,visual,visual,0.453,0.441,0.282,0.176,0,2.176,2.462,1.059,0.923,0.412,0.077,0.588,3.462
singing,"['2po', '58po']",4.778,mouth,auditory,auditory,0.491,0.521,0.268,0.3,0.056,0.6,0.111,2.1,2.056,4.55,0,1.1,2.167
single,"['0po', '4po', '6po', '8po', '27po', '35po', '42po', '58po', '59po', '60po', '63po', '69po', '71to', '71po', '109po']",1.556,head,visual,visual,0.317,0.372,0.252,0.476,0.389,0.667,1.389,1.714,1.167,0.571,0.333,0.476,3.389
singular,"['10po', '58po', '60po', '65po', '80po']",1.368,head,visual,visual,0.43,0.364,0.233,0.4,0.526,1.2,1.421,2.7,0.842,0.6,0.737,0.45,3.632
singularity,"['58po', '109po']",1.267,head,visual,visual,0.4,0.342,0.244,0.368,0.667,0.526,0.867,2.053,0.733,0.895,0.667,0.368,3.2
singularly,['60po'],0.789,head,visual,visual,0.307,0.404,0.197,0.474,0.263,1,0.842,2.316,1.211,1.684,0.158,0.526,2.474
sink,['58po'],0.947,hand_arm,visual,visual,0.259,0.467,0.26,0.81,0,2.619,2.789,1.857,0.789,0.857,0.158,0.857,4.105
sinner,['58po'],1.882,head,visual,visual,0.264,0.391,0.238,0.444,0.176,0.722,0.824,1.722,1.588,1.5,0.059,0.444,3
sister,"['54po', '109po']",3.737,head,visual,visual,0.203,0.357,0.24,0.8,0,1.16,1.632,1.96,1.579,0.96,0.632,0.84,4.211
sit,"['45po', '109po']",0.611,foot_leg,visual,foot_leg,0.366,0.378,0.214,4.211,0.194,1.263,2.306,1.368,1.417,0.263,0.222,3.684,3.194
six,"['37po', '109po']",1.056,head,visual,visual,0.435,0.684,0.377,0.35,0,0.55,0.278,1.7,0,0.65,0,0.2,2.889
size,"['11po', '32po', '52po', '58po', '69po', '109po']",0.722,head,visual,visual,0.128,0.517,0.224,1.7,0.444,2.7,2.389,2.85,0.222,1.5,0.056,1.8,4.222
sizer,['53po'],0.722,head,visual,visual,0.128,0.517,0.224,1.7,0.444,2.7,2.389,2.85,0.222,1.5,0.056,1.8,4.222
sizes,['52po'],0.111,torso,visual,visual,0.188,0.624,0.229,2.8,0,2.75,1.778,2.15,0.556,0.7,0,2.8,4.056
skate,['68po'],1.412,foot_leg,visual,foot_leg,0.438,0.393,0.213,3.579,0.118,1.105,2.235,1.053,1.059,0.211,0.235,1.737,3.471
skip,['84po'],0.85,foot_leg,visual,foot_leg,0.466,0.456,0.329,4.136,0.05,1,0.5,1,0.95,0.455,0.05,1.318,2.1
sky,"['54po', '109po']",0.316,head,visual,visual,0.63,0.802,0.406,0.421,0.105,0.526,0.053,3.895,0.526,0.316,0.105,0.526,4.737
slam,['69po'],3.65,hand_arm,auditory,auditory,0.324,0.365,0.185,1.316,0.05,3.632,1.85,2.421,0.55,0.526,0.3,1.684,3.45
sleeping,"['58po', '109po']",1.778,head,interoceptive,head,0.123,0.386,0.168,2.842,0.167,3,0.778,4.421,3.889,2.474,0.111,3.105,3.056
sleeve,['45po'],0.562,hand_arm,visual,hand_arm,0.574,0.449,0.282,0.476,0,4.381,3.5,1.333,0.625,0.333,0,0.524,3.812
slender,"['7po', '12po', '17po', '24po', '58po', '94po']",0.263,head,visual,visual,0.197,0.649,0.299,1.235,0,2.059,2,2.294,0.158,0.706,0,1.765,4.474
slice,"['60po', '61po']",0.889,hand_arm,visual,hand_arm,0.378,0.267,0.161,0.667,1.278,3.476,2.722,1.143,0.778,1.19,0.889,0.952,3.444
slight,"['60po', '61po']",1.333,head,visual,head,0.349,0.297,0.167,0.421,0.381,0.737,0.476,1.895,0.952,0.947,0.286,0.368,1.857
slighter,['4po'],1.333,head,visual,head,0.349,0.297,0.167,0.421,0.381,0.737,0.476,1.895,0.952,0.947,0.286,0.368,1.857
slimy,['68po'],0.824,hand_arm,haptic,haptic,0.275,0.341,0.191,1.55,1.235,3,4.176,1.3,1.059,2.05,0.471,0.65,3.118
small,"['7po', '11po', '58po', '61po', '109po']",0.444,head,visual,visual,0.255,0.5,0.268,0.857,0.167,1.857,2.5,2.333,0.556,0.81,0.056,0.667,3.833
smell,"['58po', '59po']",0.158,head,olfactory,olfactory,0.746,0.664,0.356,0,0.526,0.19,0,4.762,1.632,1.429,4.895,0,0.158
smelled,['62po'],0.1,head,olfactory,head,0.79,0.813,0.426,0,0.2,0.211,0,4.947,0.5,0.895,4.35,0.211,0.2
smelling,['60po'],0.25,head,olfactory,olfactory,0.73,0.621,0.345,0.143,0.3,0.143,0,4.381,1.4,1,4.5,0.143,0.8
snipe,['58po'],2.533,mouth,visual,visual,0.215,0.395,0.214,0.562,0.067,1.438,1.4,1.875,0.533,2,0.2,0.812,3.2
snips,['22po'],2.059,hand_arm,visual,hand_arm,0.619,0.456,0.282,0.211,0,3.632,1.647,1.105,0.294,0.263,0,0.316,3.353
soaking,['60po'],0.188,hand_arm,haptic,haptic,0.204,0.414,0.207,2.15,0.5,2.55,3.938,1.75,1.75,0.7,0.25,1.9,2.438
soap,"['4po', '54po']",0.095,hand_arm,haptic,haptic,0.299,0.321,0.167,2.35,0.667,3.75,3.952,2.05,0.095,0.45,3.381,2.45,3.81
social,['58po'],3,mouth,visual,mouth,0.227,0.4,0.176,1.4,0.2,1.45,0.25,2.9,1.05,3.35,0.15,1.05,3.35
soda,['85po'],1.529,mouth,gustatory,gustatory,0.485,0.27,0.207,0.045,4.529,1.727,1.824,1.545,0.706,3.682,1.765,0.5,3.824
sodden,['58po'],1.467,hand_arm,haptic,haptic,0.264,0.313,0.188,0.842,0.267,2,3,1.789,0.533,0.684,0.667,0.474,2.8
sofa,['17po'],0.389,torso,visual,visual,0.239,0.429,0.203,2.737,0,2.474,4.056,1.842,0.722,0.579,0.389,3.158,4.167
soft,['2po'],0.684,hand_arm,haptic,haptic,0.279,0.485,0.244,1.222,0.368,3.389,4.526,1.722,0.842,1.222,0.316,1,1.947
soiling,['62po'],0.333,torso,visual,visual,0.207,0.458,0.26,1.4,0,0.9,1.333,1.1,0.762,0.5,1.524,1.65,3.333
sold,"['31po', '40po', '95po']",2.333,head,visual,visual,0.345,0.38,0.211,0.318,0.429,1.364,0.905,2.591,0.476,1.955,0.381,0.364,3.381
soldier,"['52po', '109po']",2.316,head,visual,visual,0.129,0.503,0.207,2.35,0,2.5,0.789,2.95,0.368,1.5,0.421,1.95,3.947
sole,"['68po', '92po']",0.5,foot_leg,visual,foot_leg,0.436,0.456,0.233,3.25,0.125,1.2,1.938,1.45,0.688,0.9,0.125,0.2,3.062
solemn,"['60po', '61po', '80po']",2,head,interoceptive,head,0.446,0.35,0.247,0.421,0,0.579,0.1,3.263,2.4,1.316,0,0.789,2.35
soles,['45po'],0.824,foot_leg,visual,foot_leg,0.586,0.439,0.311,3.95,0,0.8,2,1.2,0.529,0.25,0.176,0.2,2.765
solid,"['4po', '59po', '61po', '62po', '109po']",1.421,head,haptic,haptic,0.201,0.313,0.189,1.316,1.263,2.368,4.632,2.632,0.895,0.895,0.526,1.421,4.368
solitary,"['59po', '60po']",1.556,head,visual,head,0.191,0.413,0.194,1.6,0.167,1.65,1.056,3.45,0.778,1.7,0.389,1.55,3.056
solitude,"['59po', '60po', '109po']",1.263,head,interoceptive,interoceptive,0.33,0.434,0.269,0.65,0,0.65,0.895,1.95,3.105,0.5,0.053,0.65,1.842
