word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
instance,['109po'],1.838,head,visual,visual,0.223,0.299,0.168,0.641,0.514,0.923,0.541,1.821,0.811,1.231,0.541,0.667,2.541
truth,['109po'],2.722,head,auditory,head,0.484,0.415,0.27,0.05,0,0.25,0.111,3.95,1.5,3.4,0,0.4,2.222
disturbance,['109po'],3.789,head,auditory,auditory,0.215,0.297,0.194,1,0.158,1.04,1.263,2.32,2.684,1.24,0.579,0.92,3.737
trusting,['109po'],1.833,head,interoceptive,interoceptive,0.298,0.43,0.218,0.81,0.111,1.095,0.278,3.095,3.5,1.762,0.111,0.905,2.056
bakers,['109po'],1.4,head,visual,visual,0.188,0.306,0.169,1.05,1.75,2.05,0.9,2.65,0.15,1.65,2.9,1.1,3.35
boy,['109po'],2.438,head,visual,visual,0.119,0.426,0.202,1.684,0.312,2,1.312,2.789,0.25,1.632,0.5,1.632,4
exchanging,['109po'],2.5,hand_arm,visual,visual,0.281,0.534,0.227,0.81,0,3.619,0.889,2.476,0,2.238,0.056,0.857,3.944
door,['109po'],1.647,hand_arm,visual,visual,0.367,0.513,0.251,1.684,0,4.158,2.765,1.895,0,0.684,0,1.053,4.647
distribution,['109po'],1.4,hand_arm,visual,visual,0.214,0.412,0.219,0.7,0.35,2.1,1.7,2.05,0.4,1,0.25,0.7,3.3
contradiction,['109po'],3.353,head,auditory,auditory,0.368,0.38,0.226,0.3,0.235,0.35,0.471,2.4,1.941,2.35,0.176,0.3,2.176
naturally,['109po'],1.889,head,visual,visual,0.084,0.162,0.083,1.421,1.056,1.737,1.278,2.158,1.556,2,1,1.474,2.5
sides,['109po'],1.056,hand_arm,visual,visual,0.216,0.395,0.194,1.389,0.222,2.167,2.111,1.722,0.611,0.556,0.167,1.611,3
author,['109po'],1.444,head,visual,visual,0.346,0.418,0.243,0.211,0.444,2,0.611,2.158,0.667,0.737,0.389,0.526,3.222
entering,['109po'],1.5,foot_leg,visual,visual,0.206,0.472,0.205,3.1,0.111,1.8,1.389,2.7,0.722,0.95,0.389,1.9,3.889
explaining,['109po'],4.158,mouth,auditory,auditory,0.569,0.56,0.299,0.053,0,0.421,0.105,2.316,0.895,3.684,0,0,2.263
expecting,['109po'],1.667,head,interoceptive,head,0.61,0.28,0.229,0.3,0.611,0.45,0.889,3.35,2.722,0.5,0.389,0.4,2.056
relating,['109po'],2.1,head,auditory,head,0.322,0.348,0.213,0.636,0.15,0.909,0.25,2.773,1.1,1.864,0.1,0.591,2.05
audience,['109po'],3.778,head,visual,visual,0.194,0.412,0.209,1.3,0,2.1,0.722,3.05,0.833,2.2,0.611,1.15,4.167
opening,['109po'],1.619,hand_arm,visual,visual,0.314,0.317,0.207,0.444,0.333,2.222,3.381,1.167,1.238,1.611,0.571,0.389,3.81
assumed,['109po'],1.933,head,auditory,head,0.357,0.294,0.209,0.579,0.4,0.789,0.267,2.684,1.2,1.105,0.333,0.737,1.533
kneeling,['109po'],0.353,foot_leg,visual,foot_leg,0.51,0.449,0.278,3.909,0,0.591,2.059,1.045,1.412,0.273,0,1.318,3.118
force,['109po'],1.263,hand_arm,haptic,hand_arm,0.161,0.319,0.152,1.95,0.211,3.35,3.316,2.1,2,1.6,0.211,1.85,2.737
bestowed,['109po'],1.8,head,visual,visual,0.304,0.463,0.229,0.238,0,1.667,0.35,1.714,0.4,0.952,0,0.286,2.2
floor,['109po'],1,foot_leg,visual,visual,0.536,0.427,0.266,3.381,0,0.81,3.857,1.19,0.524,0.19,0.238,0.381,4.19
press,['109po'],1.474,hand_arm,haptic,hand_arm,0.268,0.353,0.188,2.3,0.263,4.1,3.789,1.45,1.895,1.3,0.316,1.3,2.263
air,['109po'],1.684,head,haptic,head,0.138,0.277,0.154,1.95,0.368,2.45,2.789,3.95,1.368,3.85,1.842,2.3,0.684
disappearance,['109po'],1.471,head,visual,visual,0.129,0.488,0.181,1.5,0.118,1.556,0.118,2.333,0.765,1.5,0,1.278,2.353
lingering,['109po'],1.429,head,visual,visual,0.19,0.258,0.129,1.789,0.857,1.526,0.714,2.947,1.762,1.263,1.095,1.316,3
lion,['109po'],3.882,head,visual,visual,0.584,0.338,0.268,0.286,0.471,0.571,1.824,2.714,0.941,0.429,0.941,0.238,4.824
chinese,['109po'],1.111,head,visual,head,0.369,0.453,0.235,0.789,0.5,1.158,0.722,3.211,0.222,1,0.444,0.684,2.889
blotter,['109po'],0.133,hand_arm,visual,visual,0.352,0.655,0.288,0.5,0,3,1.733,2.278,0,0.778,0.067,0.556,3.667
similar,['109po'],2.294,head,visual,visual,0.41,0.22,0.196,0.421,1.471,1,1.618,2.474,1.029,1.421,1.324,0.211,3.5
trouble,['109po'],2.765,head,visual,visual,0.28,0.372,0.211,0.7,0.176,1.05,0.353,2.5,1.529,1.7,0.471,0.65,3.412
whiteness,['109po'],0.579,head,visual,visual,0.471,0.764,0.368,0.471,0.053,0.706,0.105,3.294,0.474,1,0.053,0.529,4.316
thought,['109po'],1.45,head,interoceptive,head,0.568,0.489,0.3,0.35,0.2,0.5,0.25,4.1,3.35,1.1,0.15,0.55,1.15
page,['109po'],1.263,hand_arm,visual,visual,0.482,0.5,0.297,0,0,2.75,2.737,2.1,0.053,0.75,0.105,0.1,4.158
corner,['109po'],0.649,head,visual,visual,0.25,0.522,0.277,1.368,0.108,1.421,2.378,2.211,0.135,0.579,0.162,0.947,3.973
greater,['109po'],1.294,head,visual,visual,0.479,0.367,0.305,0.105,0.471,0.789,1.353,1.316,0.824,0.211,0.412,0.105,3.176
higher,['109po'],0.737,head,visual,visual,0.2,0.433,0.234,1.75,0.105,1.9,1.105,1.9,2.263,0.65,0.158,0.55,3.526
erection,['109po'],0.35,torso,visual,visual,0.298,0.333,0.201,0.833,0.3,1.556,3.65,1.944,2.8,0.389,0.15,2.556,3.85
stands,['109po'],0.5,foot_leg,visual,foot_leg,0.545,0.469,0.266,4.4,0.2,0.55,1.5,0.75,1.65,0.2,0.25,1.8,4
feeds,['109po'],0.588,mouth,visual,mouth,0.302,0.224,0.14,0.2,2.471,2.75,2.412,2.3,1.235,3.2,1.647,1.5,3.176
silences,['109po'],4,head,auditory,auditory,0.433,0.713,0.333,0.474,0.059,0.579,0.176,3.211,0.588,1.579,0.059,0.474,0.647
swelling,['109po'],0.294,head,visual,visual,0.086,0.429,0.218,1.75,0,1.95,2.941,2.3,2.235,1.5,0,1.8,4.118
diversion,['109po'],2.15,head,visual,visual,0.357,0.423,0.227,0.812,0.05,1.062,0.6,2.688,0.8,1.062,0.45,0.5,3.05
exaltation,['109po'],1.938,head,visual,head,0.243,0.237,0.149,0.706,0.438,1.471,0.375,2.706,2.062,2.412,0.438,0.941,2.125
covered,['109po'],0.353,head,visual,visual,0.111,0.519,0.213,1.9,0.059,2.65,2.824,3,0.529,1.75,0,1.95,4.059
permission,['109po'],3.737,mouth,auditory,auditory,0.354,0.546,0.317,0.45,0,0.5,0.263,1.65,0.789,2.05,0,0.3,2.053
enclosure,['109po'],0.667,head,visual,visual,0.314,0.464,0.262,0.75,0.167,1.55,2.444,2.3,0.611,0.45,0.111,0.85,3.667
blends,['109po'],1.526,hand_arm,visual,visual,0.422,0.436,0.268,0.211,0.947,2.368,1.842,2.158,0.053,0.526,0.421,0.105,3.789
blending,['109po'],2.059,hand_arm,visual,visual,0.342,0.319,0.195,0.571,1.353,2.952,2.647,1.762,0.412,1.048,0.529,0.619,3.882
blend,['109po'],1.526,hand_arm,visual,visual,0.422,0.436,0.268,0.211,0.947,2.368,1.842,2.158,0.053,0.526,0.421,0.105,3.789
holds,['109po'],0.353,hand_arm,haptic,hand_arm,0.433,0.487,0.255,0.684,0,4.579,4.353,1.632,0.647,1.316,0,0.789,3.588
mice,['109po'],2.158,head,visual,visual,0.443,0.461,0.299,0.75,0.053,1,1.474,2.15,0.053,0.3,0.579,0.2,3.789
vision,['109po'],0.474,head,visual,head,0.748,0.593,0.349,0.238,0.474,0.714,0.421,5,0.895,0.286,0.368,0.19,4.737
replaced,['109po'],1.474,hand_arm,visual,visual,0.367,0.481,0.224,0.75,0.053,3.35,1.105,2.3,0.789,1.05,0.105,0.45,3.368
stored,['109po'],1.111,head,visual,visual,0.192,0.482,0.236,1.524,0.167,2,1.389,2.571,0.389,1,0.833,1.095,3.944
possible,['109po'],1.85,head,visual,visual,0.214,0.366,0.181,1.1,0.2,1.25,0.7,2.6,1.75,1.25,0,1.05,2.6
mister,['109po'],2.421,head,visual,visual,0.31,0.393,0.254,0.35,0.158,1,1,1.7,0.474,0.85,0.579,0.45,3.263
conclusion,['109po'],2.667,head,visual,visual,0.635,0.381,0.267,0,0.111,0.368,0.833,2.474,1.167,1,0.167,0.053,3.222
replacing,['109po'],1.474,hand_arm,visual,visual,0.367,0.481,0.224,0.75,0.053,3.35,1.105,2.3,0.789,1.05,0.105,0.45,3.368
casual,['109po'],2.368,head,visual,visual,0.081,0.467,0.271,1.053,0.053,1.158,0.263,1.263,1.053,0.842,0.053,0.895,3.421
acquaintance,['109po'],3.15,head,visual,visual,0.319,0.434,0.255,0.389,0.15,1.5,1.25,2.5,0.25,1.722,0.4,0.5,4.25
daughter,['109po'],2.789,head,visual,visual,0.097,0.397,0.214,1.444,0,1.778,1.632,1.889,0.632,1.833,0.632,1.111,3.737
son,['109po'],3.75,head,visual,visual,0.26,0.35,0.251,0.524,0,0.667,2,1.762,1.25,1.19,0.8,0.619,4.2
happened,['109po'],1.167,head,visual,visual,0.093,0.537,0.253,1.05,0,1.05,0.056,1.6,1.056,1.15,0.167,1.05,2.833
growth,['109po'],0.667,head,visual,visual,0.108,0.485,0.203,2.2,0.152,2.3,1.061,2.35,1.485,1.25,0.242,2.05,3.697
formerly,['109po'],2.053,head,auditory,head,0.415,0.394,0.227,0.45,0.105,0.75,0.211,2.3,0.474,0.85,0.211,0.35,1.895
waiting,['109po'],0.579,head,interoceptive,head,0.224,0.429,0.221,1.238,0,1.476,0.211,2.667,1.895,0.952,0,1.333,1.737
intending,['109po'],0.889,head,interoceptive,head,0.319,0.304,0.203,0.529,0.278,0.882,0.333,2.294,1.611,1.176,0.278,0.647,1
departing,['109po'],1.8,foot_leg,visual,visual,0.233,0.591,0.322,2.048,0,0.81,0.55,1.381,0.45,0.762,0,0.714,4.05
entrance,['109po'],1.278,foot_leg,visual,visual,0.228,0.602,0.304,1.947,0,1.789,1.167,1.526,0.278,0.421,0,1,4.111
alike,['109po'],2.421,head,visual,visual,0.362,0.241,0.194,0.667,1.105,1.333,1.526,2.667,1.421,0.905,1.211,0.476,3.895
smaller,['109po'],0.667,head,visual,visual,0.209,0.5,0.293,0.789,0.056,1.474,2.222,1.947,0.944,0.842,0.167,0.737,4.167
littler,['109po'],1.667,head,visual,visual,0.329,0.468,0.323,0.65,0.278,0.8,1.556,1.65,0.833,0.35,0.167,0.5,4.278
hinder,['109po'],1.75,head,visual,visual,0.212,0.402,0.22,0.778,0,1.833,1.188,1.889,1.625,1.222,0,0.556,3.062
essential,['109po'],1.5,head,visual,visual,0.385,0.25,0.16,0.364,0.444,0.909,0.778,2.045,1.444,0.682,0.556,0.364,2.167
passage,['109po'],2.211,head,visual,visual,0.221,0.542,0.261,1.944,0,1.444,0.632,2.556,0.579,1.333,0,0.778,4.053
reception,['109po'],2.812,head,visual,visual,0.2,0.452,0.209,1.1,0.062,1.9,0.438,2.75,0.75,2.3,0.125,0.95,3.562
wonder,['109po'],1.806,head,interoceptive,head,0.618,0.277,0.231,0.265,0.556,0.353,1.167,4.118,3.444,1.235,0.75,0.265,2.722
added,['109po'],2.118,head,visual,visual,0.363,0.43,0.201,0.5,0.471,2.8,0.647,3.55,0.353,1.25,0.353,0.45,3.588
monday,['109po'],1.053,head,interoceptive,interoceptive,0.247,0.39,0.2,0.526,0,0.579,0,1.474,1.579,0.684,0,0.579,1.421
speech,['109po'],4.15,mouth,auditory,mouth,0.543,0.576,0.303,0.105,0,0.684,0.3,2.421,0.8,4.789,0,0.632,1.95
snail,['109po'],0,head,visual,visual,0.337,0.75,0.427,0.9,0.368,0.85,1,1.85,0,0.5,0.105,0.35,4.421
chinamen,['109po'],3.647,head,visual,visual,0.22,0.165,0.11,1.176,1.353,2.059,2.824,3.353,2.235,1.412,2.235,1.882,4.059
confusing,['109po'],2.211,head,visual,head,0.5,0.322,0.242,0.35,0.053,0.55,0.579,3.3,2,1.25,0.211,0.45,2.474
confuses,['109po'],1.895,head,interoceptive,head,0.556,0.31,0.264,0.143,0.211,0.905,0.632,3.381,2.158,1.524,0.105,0.048,1.632
triumphant,['109po'],2.65,head,visual,visual,0.167,0.308,0.175,0.952,0.05,1.238,0.65,2.095,2.75,1.571,0.15,1,2.85
startling,['109po'],2.412,head,interoceptive,interoceptive,0.136,0.316,0.169,1.35,0.353,1.3,0.412,2.4,3.235,1.65,0.294,1.4,2.588
starving,['109po'],0.737,torso,interoceptive,interoceptive,0.333,0.362,0.203,0.263,1.526,0.579,0.368,2.474,4.158,2.211,1.421,3.158,2.263
husband,['109po'],3.05,head,visual,visual,0.213,0.288,0.167,0.8,0.45,1.7,1.8,2.55,1.25,1.65,1.05,1.5,3.7
disagreeable,['109po'],2.938,head,auditory,head,0.47,0.247,0.178,0.2,1.062,0.25,0.562,2.95,1.688,2.2,1.062,0.25,2.312
hidden,['109po'],0.588,head,visual,head,0.227,0.552,0.223,1.091,0.118,1.5,0.176,2.591,0.765,1.318,0.059,0.909,2.235
organised,['109po'],0.5,head,visual,visual,0.255,0.481,0.213,1.286,0.333,2.905,1.944,3.286,0.5,0.905,0.278,0.952,3.833
worried,['109po'],1.429,head,interoceptive,interoceptive,0.482,0.544,0.304,0.526,0.048,0.632,0.095,3.421,4.19,0.895,0.048,0.526,1.81
betrothed,['109po'],1.417,head,interoceptive,head,0.21,0.27,0.166,0.647,0.083,1.647,0.417,2.118,1.5,1.529,0.333,1.059,1.5
consider,['109po'],1.6,head,interoceptive,head,0.714,0.26,0.323,0,0.45,0.091,0.45,3.864,2.1,1.409,0.4,0.045,1.55
startled,['109po'],2.133,head,visual,interoceptive,0.108,0.247,0.113,1.667,0.6,2.5,0.733,2.944,3,2.778,0.533,1.889,3
bloated,['109po'],1.059,torso,interoceptive,interoceptive,0.377,0.324,0.19,0.571,1.118,1,1.059,1.857,4.059,1.071,0.765,3.643,2.118
rarer,['109po'],1.062,head,visual,visual,0.554,0.408,0.263,0.056,0.375,0.778,0.625,2.611,0.812,0.889,0.375,0.278,2.875
frequently,['109po'],2.056,head,visual,visual,0.185,0.298,0.166,1.05,0.667,1.15,0.667,1.95,1.444,1.25,0.333,0.8,2.667
brushing,['109po'],1.412,hand_arm,haptic,haptic,0.429,0.412,0.22,0.366,0.176,4.122,4.176,2.488,0.588,1.415,0.059,0.366,3.588
eyeglasses,['109po'],0.158,head,visual,visual,0.76,0.571,0.338,0,0,1.353,2.947,4.294,0.421,0,0,0,4.684
rotten,['109po'],0.167,head,visual,visual,0.357,0.307,0.226,0.3,2.667,1.1,1.5,2.05,0.778,1.1,4.111,0.35,4.333
useless,['109po'],0.625,head,visual,head,0.254,0.426,0.252,0.952,0,1.095,0.062,2.619,1.5,0.952,0,0.952,1.625
dimness,['109po'],0.125,head,visual,visual,0.549,0.822,0.421,0.579,0.062,0.421,0.125,3.368,0.562,0.526,0.062,0.474,4.688
along,['109po'],1,head,visual,visual,0.121,0.393,0.168,1.5,0.176,1.4,0.706,1.9,1.176,1.05,0.059,1.2,2.118
tendency,['109po'],2.278,head,visual,visual,0.447,0.326,0.201,0.333,0.167,0.714,0.667,2.524,1.556,0.905,0.444,0.429,2.722
deplore,['109po'],2.381,head,visual,head,0.277,0.277,0.173,0.842,0.429,1.158,0.381,3.316,1.762,3,0.381,0.789,2.571
absence,['109po'],1.737,head,visual,visual,0.328,0.295,0.176,0.619,0.632,0.667,1.053,2.571,1.421,1.095,0.684,1,3.211
burning,['109po'],1.947,hand_arm,visual,visual,0.159,0.189,0.133,0.95,0.947,2.1,3.526,1.8,2.895,1,3.474,1.4,4.158
stupefication,['109po'],1.267,head,visual,head,0.659,0.341,0.279,0.105,0.2,0.211,0.2,2.895,1.933,1.053,0.133,0.053,2.133
earning,['109po'],1.235,head,visual,head,0.19,0.541,0.212,1.278,0,2.444,0.412,3.167,0.647,1.722,0,1.333,2.706
living,['109po'],3.2,head,interoceptive,head,0.078,0.088,0.052,2.737,2.2,3.158,2.85,4,3.8,3.316,2.4,2.895,3.8
indicated,['109po'],1.889,hand_arm,visual,visual,0.284,0.339,0.159,0.526,0.278,2.579,1.278,1.947,0.556,2.368,0.278,0.368,2.611
motion,['109po'],0.95,foot_leg,visual,foot_leg,0.041,0.468,0.152,4.1,0,3.9,1.95,3.5,1.7,3.35,0,3.45,4.05
enthralled,['109po'],1.75,head,interoceptive,interoceptive,0.337,0.378,0.213,0.357,0.062,0.857,0.438,2.429,3.062,2.071,0.125,0.429,2.5
sullen,['109po'],1.562,head,visual,visual,0.315,0.416,0.205,0.6,0,1,0.25,2.9,2.312,2.15,0,0.65,2.938
refusal,['109po'],3.75,mouth,auditory,auditory,0.331,0.531,0.286,0.381,0,0.952,0.125,2.143,0.375,2.286,0,0.286,2.812
lower,['109po'],2.368,hand_arm,visual,visual,0.181,0.452,0.246,1.2,0.105,1.9,1.211,1.9,0.632,0.65,0.105,1.25,3.842
upper,['109po'],0.625,head,visual,visual,0.164,0.646,0.28,1,0,1.5,0.938,2.1,0.25,1.05,0,1.05,3.312
feat,['109po'],1.471,head,visual,visual,0.103,0.33,0.14,1.75,0.294,2.2,0.824,2.3,1.176,1.35,0.471,1.65,2.529
discharge,['109po'],1.526,mouth,visual,visual,0.187,0.349,0.188,1.235,0.368,1.706,1.737,1.824,0.895,2.294,1.105,0.824,3.579
comparing,['109po'],2.194,head,visual,head,0.318,0.224,0.151,0.667,1.444,2.472,1.611,3.861,0.972,2.361,1.389,0.694,3.444
holding,['109po'],0.278,hand_arm,haptic,haptic,0.376,0.443,0.239,0.737,0,4,4.5,1.421,2.056,0.737,0.222,1.789,3.111
repeated,['109po'],2.895,mouth,auditory,auditory,0.132,0.427,0.203,1.15,0.105,1.2,0.474,1.6,0.632,2.1,0.105,1.15,2.316
interruption,['109po'],3.067,head,auditory,auditory,0.381,0.372,0.199,0.524,0.067,1.048,0.533,3.048,1.333,2,0.6,0.381,2.467
changed,['109po'],2.833,head,visual,visual,0.085,0.286,0.156,1.8,0.722,1.95,1.778,2.5,1.778,2.05,0.667,1.65,4.056
position,['109po'],0.65,hand_arm,visual,visual,0.133,0.497,0.227,1.895,0,2.421,2.15,2,1.2,1.158,0,2,3.95
consumed,['109po'],0.882,mouth,visual,mouth,0.347,0.265,0.183,0.5,2.118,2.667,1,2.056,2.059,4.389,0.647,1.611,3.294
admitted,['109po'],3.824,mouth,auditory,auditory,0.387,0.463,0.26,0.263,0.294,0.474,0.294,2.526,0.882,2.684,0.118,0.316,2.588
stars,['109po'],0.833,head,visual,visual,0.391,0.684,0.34,0.6,0.111,0.9,0.167,3.1,0.611,1.05,0.167,0.75,4.444
failing,['109po'],1.667,head,visual,visual,0.23,0.331,0.171,1.091,0.167,1.182,0.5,2.818,2.667,1.136,0.222,1.273,2.833
indifferent,['109po'],1.875,head,auditory,head,0.491,0.278,0.234,0.391,0.188,0.435,0.312,2.783,1.75,1.13,0.25,0.304,1.688
connecting,['109po'],1.158,hand_arm,visual,visual,0.263,0.368,0.191,0.75,0.263,2.3,1.579,1.8,1.105,1.25,0.211,0.55,2.842
determine,['109po'],1,head,interoceptive,head,0.49,0.389,0.267,0.389,0.188,0.667,0.312,3.111,2.312,0.889,0.125,0.5,1.688
rejoining,['109po'],1,head,visual,visual,0.19,0.43,0.181,1.364,0.167,1.5,0.667,2.318,0.833,1.591,0.333,0.864,2.556
commensurate,['109po'],1.083,head,visual,head,0.467,0.434,0.262,0.133,0,0.733,0.25,2.467,1.167,1.267,0,0.4,1.917
hangings,['109po'],0.647,hand_arm,visual,visual,0.333,0.6,0.281,0.947,0.294,3.526,1.471,1.842,0.529,0.737,0,1.316,4.412
receiving,['109po'],1.043,hand_arm,haptic,hand_arm,0.326,0.282,0.195,0.7,0.391,3.55,2.522,2.1,1.217,1.55,0.304,0.85,2.391
disaster,['109po'],1.895,head,visual,visual,0.192,0.45,0.234,1.167,0.053,1.167,0.368,2.556,1.474,1.167,0.474,1.167,3.579
shower,['109po'],2.762,hand_arm,haptic,hand_arm,0.08,0.271,0.129,4,0.19,4.389,3.762,4.167,1.714,2.833,1.143,4.056,3.619
damp,['109po'],0.375,hand_arm,haptic,haptic,0.122,0.403,0.193,2.077,0.188,2.769,3.938,1.923,0.75,1.538,1.312,1.769,2.75
mirror,['109po'],0,head,visual,visual,0.515,0.731,0.347,0.667,0,1.667,1.778,4.111,0,0.333,0,0.556,4.833
manikin,['109po'],0.316,head,visual,visual,0.364,0.552,0.31,0.611,0.105,1.222,2,2.5,0.421,0.5,0.211,0.667,4
movement,['109po'],1.706,foot_leg,visual,foot_leg,0.127,0.4,0.162,4.526,0,4.421,1.706,3.316,2.412,2.211,0,3.737,3.882
disorder,['109po'],2.25,head,visual,head,0.259,0.472,0.213,1.2,0,1.4,0.5,3.65,1.312,1.95,0,1.25,3.625
directs,['109po'],2.556,head,auditory,head,0.304,0.339,0.188,0.556,0.278,1.778,0.556,3.056,0.944,2.278,0.222,0.556,2.333
coats,['109po'],0.361,torso,haptic,haptic,0.421,0.425,0.249,0.333,0,2.857,4,0.476,0.528,0.095,0.667,2.905,3.861
differ,['109po'],2.188,head,visual,visual,0.443,0.203,0.169,0.1,0.625,0.65,1.312,2.25,1.438,1.6,0.688,0.25,2.375
union,['109po'],1.333,head,visual,head,0.457,0.316,0.215,0.263,0.333,0.737,0.833,2.474,0.556,1.053,0.333,0.316,2.056
horse,['109po'],3.294,hand_arm,visual,visual,0.184,0.335,0.182,2.7,0.235,3.1,3.412,2.45,0.176,1.05,1.588,1.85,4.647
sunshine,['109po'],0.176,head,visual,visual,0.25,0.598,0.271,1.45,0,1.8,1.647,3.1,1.176,0.85,0,1.8,4.471
disturber,['109po'],2.647,head,visual,visual,0.176,0.371,0.197,1.238,0.235,1.286,0.412,2.048,1.176,1.952,0.471,0.762,3.294
miserable,['109po'],2.167,head,interoceptive,head,0.241,0.31,0.156,1.182,0.5,1.636,0.5,3.773,3.667,2.545,0.556,1.636,2.833
descender,['109po'],0.529,foot_leg,visual,visual,0.282,0.598,0.277,2.556,0,1.556,1,1.667,1,0.5,0,1,3.765
containing,['109po'],1.03,hand_arm,visual,visual,0.351,0.433,0.243,0.353,0.242,2.294,1.364,1.882,0.939,0.588,0.212,0.412,3.273
curtain,['109po'],0.944,hand_arm,visual,visual,0.464,0.507,0.318,0.263,0,2.158,2.556,1.737,0.167,0.158,0,0.105,3.778
sentimental,['109po'],1.882,head,interoceptive,head,0.347,0.344,0.231,1,0.353,0.85,0.176,3.9,2.706,1.95,0.471,1.1,1.765
usage,['109po'],1.579,head,visual,visual,0.14,0.218,0.103,1.75,0.895,2.35,1.842,2.55,1,1.8,0.737,1.2,2.632
symmetrical,['109po'],0.333,head,visual,visual,0.259,0.6,0.25,1,0.056,2,1.444,3,0.389,0.882,0.056,1.294,3.556
steel,['109po'],0.947,hand_arm,visual,visual,0.458,0.462,0.281,0.25,0.053,2.7,3.105,1.9,0,0.25,0.368,0.25,3.842
construction,['109po'],2.875,hand_arm,visual,visual,0.199,0.467,0.216,2,0.125,2.905,0.875,1.857,0.25,0.952,0.25,2.095,4.062
tidiness,['109po'],0.296,hand_arm,visual,visual,0.275,0.535,0.235,1.161,0.259,3.129,1.185,2.903,0.63,0.71,0.593,0.903,3.963
destroy,['109po'],2.25,hand_arm,visual,visual,0.157,0.358,0.165,2.556,0.188,3.167,2,2.056,1.062,1.778,0.375,1.444,3.562
lost,['109po'],0.6,head,interoceptive,head,0.314,0.374,0.213,1.421,0.467,1,0.267,3.105,2.6,0.789,0.133,1.053,2.533
signed,['109po'],0.765,hand_arm,visual,visual,0.359,0.555,0.25,0.412,0.118,3.706,1.471,3.059,0.529,1.176,0.353,0.824,4.294
fitted,['109po'],0.688,head,visual,visual,0.202,0.364,0.205,1.474,0.312,1.737,3,1.737,0.938,0.368,0.312,1.474,3.5
moving,['109po'],1.222,foot_leg,visual,foot_leg,0.085,0.437,0.16,4.362,0.056,4.05,2.056,3.467,1.5,2.824,0.056,3.483,3.889
plentiful,['109po'],1.25,head,visual,visual,0.354,0.302,0.251,0.222,0.85,1.111,1.8,1.778,1,0.778,0.85,0.5,3.7
package,['109po'],0.474,hand_arm,visual,visual,0.458,0.461,0.26,0.739,0,3.565,3.947,2.261,0.158,0.261,0.474,0.391,4.316
rain,['109po'],3.375,head,visual,visual,0.207,0.238,0.136,1.895,1.062,2.421,3.625,3.579,0.5,1.263,2.312,2.053,4.062
filter,['109po'],1,head,visual,visual,0.338,0.362,0.258,0.235,0.471,1.706,2.471,1.765,0.529,0.529,0.765,0.294,3.706
funnel,['109po'],0.778,hand_arm,visual,visual,0.25,0.518,0.291,0.632,0,2.158,2.944,1.158,0,1.421,0.056,0.737,4.056
arises,['109po'],0.811,foot_leg,interoceptive,foot_leg,0.301,0.316,0.17,2,0.189,0.85,1,1.4,1.865,0.3,0.081,1.1,1.703
curly,['109po'],0.293,hand_arm,visual,visual,0.368,0.47,0.322,0.353,0.207,1.471,2.655,1.059,0.414,0.235,0.138,0.235,3.552
suddenness,['109po'],1.706,head,visual,visual,0.148,0.331,0.148,1.8,0.118,1.7,0.353,2.45,2.294,1.7,0.176,1.15,2.471
commences,['109po'],1.895,head,visual,head,0.16,0.294,0.138,1.6,0.316,1.7,0.579,2.25,1.105,1.6,0.263,0.95,2.105
delusion,['109po'],1.389,head,interoceptive,head,0.686,0.333,0.306,0.15,0.333,0.2,0.333,3.75,2.389,0.95,0.222,0.2,1.833
cape,['109po'],0.588,torso,visual,visual,0.412,0.46,0.269,0.2,0.118,1.75,2.588,1.45,0.294,0.05,0.647,2.5,3.824
establishing,['109po'],1.947,head,visual,visual,0.144,0.37,0.211,0.737,0.263,1.316,0.842,1.474,1.105,1.263,0.211,0.684,2.895
disposition,['109po'],1.688,head,visual,head,0.216,0.393,0.23,1.389,0,1.333,0.125,3.389,1.375,2,0,1.389,2.062
mentioning,['109po'],4.5,mouth,auditory,auditory,0.578,0.706,0.343,0.2,0,0.35,0.188,1.75,0.25,4.1,0,0.35,1.438
temperature,['109po'],0.111,head,haptic,head,0.085,0.342,0.144,2.647,0.778,3.294,2.944,3.353,2.444,2.118,0.056,3.059,2.111
lives,['109po'],2.9,head,visual,head,0.04,0.07,0.052,3.286,2.3,3.476,2.5,4,3.25,3.571,2.2,3.571,3.35
paler,['109po'],0.4,head,visual,visual,0.357,0.8,0.384,1.059,0,0.941,0.333,2.353,0.333,0.294,0,1.118,4.267
connection,['109po'],1.158,hand_arm,visual,visual,0.163,0.259,0.132,1.111,0.474,2.444,2.053,2.333,1.579,1.167,0.579,1.111,2.684
adjustment,['109po'],0.895,torso,visual,visual,0.119,0.366,0.165,1.526,0.368,2.211,1.842,1.947,0.842,1.263,0.526,2.368,3.158
attention,['109po'],2.118,head,visual,head,0.5,0.397,0.257,0.4,0,0.8,0,3.35,2.176,0.8,0,0.55,2.824
gamboling,['109po'],2.071,foot_leg,visual,visual,0.322,0.333,0.184,3.3,0.357,1.9,1.786,1.5,1.857,0.55,0.571,1.3,3.857
